Date,Close,High,Low,Open,Volume,value,value_classification,timestamp,time_until_update,US Dollar Index
2018-02-01,9170.5400390625,10288.7998046875,8812.2802734375,10237.2998046875,9959400448,30,Fear,1517443200,,88.66999816894531
2018-02-02,8830.75,9142.2802734375,7796.490234375,9142.2802734375,12726899712,15,Extreme Fear,1517529600,,89.19999694824219
2018-02-05,6955.27001953125,8364.83984375,6756.68017578125,8270.5400390625,9285289984,11,Extreme Fear,1517788800,,89.55000305175781
2018-02-06,7754.0,7850.7001953125,6048.259765625,7051.75,13999800320,8,Extreme Fear,1517875200,,89.58999633789062
2018-02-07,7621.2998046875,8509.1103515625,7236.7900390625,7755.490234375,9169280000,36,Fear,1517961600,,90.26000213623047
2018-02-08,8265.58984375,8558.76953125,7637.85986328125,7637.85986328125,9346750464,30,Fear,1518048000,,90.2300033569336
2018-02-09,8736.98046875,8736.98046875,7884.7099609375,8271.83984375,6784820224,44,Fear,1518134400,,90.44000244140625
2018-02-12,8926.5703125,8985.919921875,8141.43017578125,8141.43017578125,6256439808,42,Fear,1518393600,,90.20999908447266
2018-02-13,8598.3095703125,8958.4697265625,8455.41015625,8926.7197265625,5696719872,35,Fear,1518480000,,89.69999694824219
2018-02-14,9494.6298828125,9518.5400390625,8599.919921875,8599.919921875,7909819904,55,Greed,1518566400,,89.12000274658203
2018-02-15,10166.400390625,10234.7998046875,9395.580078125,9488.3203125,9062540288,71,Greed,1518652800,,88.58999633789062
2018-02-16,10233.900390625,10324.099609375,9824.8203125,10135.7001953125,7296159744,67,Greed,1518739200,,89.0999984741211
2018-02-20,11403.7001953125,11958.5,11231.7998046875,11231.7998046875,9926540288,74,Greed,1519084800,,89.72000122070312
2018-02-21,10690.400390625,11418.5,10479.099609375,11372.2001953125,9405339648,54,Neutral,1519171200,,90.08000183105469
2018-02-22,10005.0,11039.099609375,9939.08984375,10660.400390625,8040079872,44,Fear,1519257600,,89.75
2018-02-23,10301.099609375,10487.2998046875,9734.5595703125,9937.0703125,7739500032,39,Fear,1519344000,,89.87999725341797
2018-02-26,10366.7001953125,10475.0,9501.73046875,9669.4296875,7287690240,37,Fear,1519603200,,89.81999969482422
2018-02-27,10725.599609375,10878.5,10246.099609375,10393.900390625,6966179840,44,Fear,1519689600,,90.36000061035156
