Date,Close,High,Low,Open,Volume,value,value_classification,timestamp,time_until_update,US Dollar Index,Federal Funds Rate,SMA50,SMA200,delta,gain,loss,avg_gain,avg_loss,rs,RSI,MA20,stddev,UpperBand,LowerBand,Daily_Return
2018-02-15,10166.400390625,10234.7998046875,9395.580078125,9488.3203125,9062540288,71,Greed,1518652800,,88.58999633789062,1.42,,,671.7705078125,671.7705078125,-0.0,,,,,,,,,7.075267978887334
2018-02-16,10233.900390625,10324.099609375,9824.8203125,10135.7001953125,7296159744,67,Greed,1518739200,,89.0999984741211,1.42,,,67.5,67.5,-0.0,,,,,,,,,0.6639518158486624
2018-02-20,11403.7001953125,11958.5,11231.7998046875,11231.7998046875,9926540288,74,Greed,1519084800,,89.72000122070312,1.42,,,1169.7998046875,1169.7998046875,-0.0,,,,,,,,,11.430635046625248
2018-02-21,10690.400390625,11418.5,10479.099609375,11372.2001953125,9405339648,54,Neutral,1519171200,,90.08000183105467,1.42,,,-713.2998046875,0.0,713.2998046875,350.67079380580356,242.10934012276786,1.4483984534755527,59.15697469174271,,,,,-6.2549855965233325
2018-02-22,10005.0,11039.099609375,9939.08984375,10660.400390625,8040079872,44,Fear,1519257600,,89.75,1.42,,,-685.400390625,0.0,685.400390625,350.67079380580356,291.06651088169644,1.2047789103031958,54.643978345090275,,,,,-6.411363144322124
2018-02-23,10301.099609375,10487.2998046875,9734.5595703125,9937.0703125,7739500032,39,Fear,1519344000,,89.87999725341797,1.42,,,296.099609375,296.099609375,-0.0,371.82076590401783,266.79579380580356,1.3936530280333441,58.22285066847751,,,,,2.959516335582202
2018-02-26,10366.7001953125,10475.0,9501.73046875,9669.4296875,7287690240,37,Fear,1519603200,,89.81999969482422,1.42,,,65.6005859375,65.6005859375,-0.0,376.5065220424107,132.83293805803572,2.8344364548942833,73.92054838401096,,,,,0.6368309056811405
2018-02-27,10725.599609375,10878.5,10246.099609375,10393.900390625,6966179840,44,Fear,1519689600,,90.36000061035156,1.42,,,358.8994140625,358.8994140625,-0.0,345.09005301339283,132.83293805803572,2.5979253192654697,72.2062046522924,,,,,3.462041028492213
2018-02-28,10397.900390625,11089.7998046875,10393.099609375,10687.2001953125,6936189952,41,Fear,1519776000,,90.61000061035156,1.42,,,-327.69921875,0.0,327.69921875,345.09005301339283,146.76143973214286,2.3513673185764827,70.16143248586798,,,,,-3.0552997565149287
2018-03-01,10951.0,11052.2998046875,10352.7001953125,10385.0,7317279744,38,Fear,1519862400,,90.31999969482422,1.51,,,553.099609375,553.099609375,-0.0,338.57645089285717,146.76143973214286,2.3069850739458513,69.76097630804202,9479.782055664062,1234.06283745871,11947.907730581483,7011.656380746642,5.319339372337972
2018-03-02,11086.400390625,11189.0,10850.099609375,10977.400390625,7620590080,47,Neutral,1519948800,,89.94000244140625,1.51,,,135.400390625,135.400390625,-0.0,314.5771484375,146.76143973214286,2.143459133486567,68.18791154791154,9575.575073242188,1282.2138842478785,12140.002841737944,7011.147304746431,1.2364203326180156
2018-03-05,11573.2998046875,11704.099609375,11443.900390625,11532.400390625,6468539904,55,Greed,1520208000,,90.08000183105467,1.51,,,486.8994140625,486.8994140625,-0.0,335.8135463169643,146.76143973214286,2.2881592530699075,69.58784769726785,9712.702563476563,1343.5506218410712,12399.803807158705,7025.601319794421,4.391862073412378
2018-03-06,10779.900390625,11500.099609375,10694.2998046875,11500.099609375,6832169984,59,Greed,1520294400,,89.62000274658203,1.51,,,-793.3994140625,0.0,793.3994140625,335.8135463169643,179.98563058035714,1.8657797582737337,65.10548317214815,9903.93408203125,1194.318221933996,12292.570525899242,7515.297638163258,-6.855429544313296
2018-03-07,9965.5703125,10929.5,9692.1201171875,10803.900390625,8797910016,37,Fear,1520380800,,89.63999938964844,1.51,,,-814.330078125,0.0,814.330078125,271.79066685267856,238.15206473214286,1.141248416881752,53.2982725350347,10014.51259765625,1081.8734869878645,12178.25957163198,7850.7656236805215,-7.554152159264859
